start_year,aldermanic_2022,privately_owned_parcels,foreclosures,foreclosures_per_1k
2017,11,11087,52,4.690177685577703
2017,12,6261,57,9.103977000479157
2017,13,NA,49,NA
2017,14,10804,56,5.18326545723806
2017,15,NA,154,NA
2018,1,10179,119,11.690735828666863
2018,2,9087,103,11.334873995818201
2018,3,6467,7,1.0824184320395858
2018,4,3599,6,1.667129758266185
2018,5,11341,59,5.20236310730976
2018,6,8613,69,8.011145942180425
2018,7,10765,123,11.42591732466326
2018,8,6786,45,6.631299734748011
2018,9,8505,70,8.23045267489712
2018,10,9903,70,7.068565081288498
2018,11,11088,54,4.87012987012987
2018,12,6257,42,6.712482020137446
2018,13,10172,46,4.522217852929611
2018,14,10805,40,3.7019898195279963
2018,15,7542,79,10.474675152479449
2019,1,10213,137,13.414275922843435
2019,2,9102,102,11.20632827949901
2019,3,6468,12,1.8552875695732838
2019,4,3602,13,3.609106052193226
2019,5,11341,62,5.466890044969579
2019,6,8614,127,14.743440910146274
2019,7,10781,165,15.30470271774418
2019,8,6793,57,8.390990725747091
2019,9,8517,67,7.866619701772924
2019,10,9913,60,6.052658125693534
2019,11,11089,34,3.0661015420687168
2019,12,6256,50,7.992327365728901
2019,13,10172,45,4.423908769170271
2019,14,10806,37,3.4240236905422914
2019,15,NA,151,NA
2020,1,10231,40,3.909686247678624
2020,2,9109,38,4.171698320342519
2020,3,NA,5,NA
2020,4,3651,10,2.738975623116954
2020,5,11341,29,2.5570937307115775
2020,6,8634,31,3.5904563354181143
2020,7,10784,38,3.5237388724035608
2020,8,6795,12,1.7660044150110374
2020,9,8539,30,3.5132919545614243
2020,10,9915,19,1.9162884518406456
2020,11,11089,13,1.1723329425556857
2020,12,6264,13,2.075351213282248
2020,13,10169,14,1.3767332087717572
2020,14,10814,21,1.9419271314962085
2020,15,7562,38,5.025125628140704
2021,1,10273,44,4.283072130828385
2021,2,NA,35,NA
2021,3,6478,8,1.234949058351343
2021,4,3647,3,0.8225939128050452
2021,5,11344,27,2.380112834978844
2021,6,8687,47,5.410383331414758
2021,7,NA,51,NA
2021,8,6797,13,1.9126085037516551
2021,9,8545,30,3.510825043885313
2021,10,9917,23,2.31924977311687
2021,11,11089,10,0.9017945711966814
2021,12,NA,17,NA
2021,13,10175,8,0.7862407862407862
2021,14,10818,13,1.2017008689221669
2021,15,7642,64,8.374771002355404
2022,1,10249,49,4.780954239437994
2022,2,9122,27,2.959877219907915
2022,3,6472,6,0.927070457354759
2022,4,3646,8,2.1941854086670323
2022,5,11344,30,2.644569816643159
2022,6,8665,63,7.27062896710906
2022,7,10807,66,6.107152771351902
2022,8,6789,21,3.093239063190455
2022,9,8543,28,3.2775371649303526
2022,10,9910,14,1.4127144298688195
2022,11,11087,12,1.0823486966717777
2022,12,6265,29,4.628890662410216
2022,13,10175,18,1.769041769041769
2022,14,10804,12,1.1106997408367272
2022,15,7622,51,6.69115717659407
