start_year,tract_2010,parcels,foreclosures,foreclosures_per_1k
1996,55079004100,808,4,4.9504950495049505
1996,55079004200,692,6,8.670520231213873
1996,55079004300,1471,12,8.157715839564922
1996,55079004400,468,3,6.41025641025641
1996,55079004500,653,2,3.0627871362940278
1996,55079004600,769,4,5.201560468140443
1996,55079004700,1088,2,1.838235294117647
1996,55079004800,1007,15,14.895729890764647
1996,55079004900,1202,7,5.8236272878535775
1996,55079005000,1369,2,1.4609203798392987
1996,55079005100,731,1,1.3679890560875512
1996,55079005400,1372,3,2.186588921282799
1996,55079005500,1209,1,0.8271298593879239
1996,55079005800,968,1,1.0330578512396695
1996,55079005900,915,9,9.836065573770492
1996,55079006000,521,5,9.596928982725528
1996,55079006100,569,13,22.847100175746927
1996,55079006200,596,9,15.100671140939598
1996,55079006300,639,4,6.259780907668231
1996,55079006400,647,6,9.27357032457496
1996,55079006500,672,5,7.44047619047619
1996,55079006600,844,6,7.109004739336492
1996,55079006700,357,2,5.602240896358543
1996,55079006800,693,7,10.101010101010102
1996,55079006900,566,5,8.8339222614841
1996,55079007000,632,4,6.329113924050633
1996,55079007100,479,3,6.263048016701462
1996,55079007200,779,2,2.567394094993581
1996,55079007300,546,1,1.8315018315018314
1996,55079007700,488,2,4.0983606557377055
1996,55079007900,393,1,2.544529262086514
1996,55079008000,427,1,2.34192037470726
1996,55079008100,307,1,3.257328990228013
1996,55079008400,349,3,8.595988538681949
1996,55079008500,311,4,12.861736334405144
1996,55079008600,359,2,5.571030640668524
1996,55079008700,380,3,7.894736842105264
1996,55079008800,488,6,12.295081967213115
1996,55079008900,386,2,5.181347150259067
1996,55079009000,516,6,11.627906976744185
1996,55079009100,564,9,15.957446808510637
1996,55079009200,368,9,24.456521739130437
1996,55079009300,726,1,1.3774104683195594
1996,55079009400,750,2,2.6666666666666665
1996,55079009500,625,2,3.2
1996,55079009600,536,14,26.119402985074625
1996,55079009700,331,2,6.042296072507553
1996,55079009800,321,4,12.461059190031152
1996,55079009900,370,3,8.108108108108109
1996,55079010700,410,1,2.4390243902439024
1996,55079011000,318,1,3.1446540880503147
1996,55079012200,456,3,6.578947368421052
1996,55079012300,172,1,5.813953488372093
1996,55079012400,632,2,3.1645569620253164
1996,55079012500,559,1,1.7889087656529516
1996,55079012900,911,1,1.0976948408342482
1996,55079013000,493,1,2.028397565922921
1996,55079013300,294,3,10.204081632653061
1996,55079013400,348,1,2.8735632183908044
1996,55079013600,169,3,17.75147928994083
1996,55079015700,483,2,4.140786749482402
1996,55079015800,408,2,4.901960784313726
1996,55079015900,496,3,6.048387096774193
1996,55079016000,497,2,4.024144869215292
1996,55079016100,619,3,4.846526655896607
1996,55079016200,542,2,3.6900369003690034
1996,55079016300,789,8,10.139416983523446
1996,55079016400,682,4,5.865102639296188
1996,55079016500,426,4,9.389671361502348
1996,55079016600,319,2,6.269592476489028
1996,55079016800,492,3,6.097560975609756
1996,55079016900,636,6,9.433962264150942
1996,55079017000,962,6,6.237006237006238
1996,55079017200,469,1,2.1321961620469083
1996,55079017300,672,1,1.488095238095238
1996,55079017400,418,3,7.177033492822967
1996,55079017500,614,3,4.885993485342019
1996,55079017600,438,1,2.28310502283105
1996,55079017900,681,2,2.936857562408223
1996,55079018000,655,2,3.0534351145038165
1996,55079018500,604,1,1.6556291390728477
1996,55079018600,464,2,4.310344827586206
1996,55079018700,542,1,1.8450184501845017
1996,55079018800,345,1,2.898550724637681
1996,55079019200,1146,1,0.8726003490401396
1996,55079019500,1016,1,0.984251968503937
1996,55079019900,994,1,1.006036217303823
1996,55079020100,710,1,1.4084507042253522
1996,55079020200,955,1,1.0471204188481678
1996,55079020400,626,1,1.5974440894568689
1996,55079020600,1246,2,1.6051364365971108
1996,55079020700,1402,1,0.7132667617689016
1996,55079020900,826,1,1.2106537530266344
1996,55079021100,523,1,1.9120458891013383
1996,55079060200,19,1,52.63157894736842
1996,55079185400,417,3,7.194244604316547
1996,55079185500,325,1,3.076923076923077
1996,55079185600,362,3,8.287292817679557
1996,55079185700,469,2,4.264392324093817
1996,55079185800,319,1,3.134796238244514
1996,55079185900,200,1,5
1996,55079186100,281,1,3.558718861209964
1996,55079186200,216,1,4.62962962962963
1996,55079186500,305,2,6.557377049180328
1997,55079000101,602,2,3.3222591362126246
1997,55079000102,932,5,5.364806866952789
1997,55079000201,871,13,14.925373134328359
1997,55079000202,1164,4,3.4364261168384878
1997,55079000302,409,2,4.88997555012225
1997,55079000304,1006,1,0.9940357852882703
1997,55079000501,734,1,1.3623978201634876
1997,55079000502,456,3,6.578947368421052
1997,55079000600,1453,5,3.4411562284927735
1997,55079000700,967,1,1.0341261633919339
1997,55079000800,1184,8,6.756756756756757
1997,55079000900,655,3,4.580152671755726
1997,55079001000,985,5,5.076142131979695
1997,55079001100,517,4,7.7369439071566735
1997,55079001200,472,6,12.711864406779663
1997,55079001300,905,4,4.419889502762431
1997,55079001400,327,1,3.058103975535168
1997,55079001500,600,2,3.3333333333333335
1997,55079001700,956,2,2.092050209205021
1997,55079001800,580,3,5.172413793103448
1997,55079001900,844,6,7.109004739336492
1997,55079002000,713,4,5.610098176718092
1997,55079002100,574,10,17.421602787456447
1997,55079002200,573,3,5.235602094240838
1997,55079002300,1132,9,7.950530035335689
1997,55079002400,536,4,7.462686567164179
1997,55079002500,555,10,18.01801801801802
1997,55079002600,836,7,8.373205741626794
1997,55079002700,624,7,11.217948717948717
1997,55079002800,576,6,10.416666666666666
1997,55079002900,664,7,10.542168674698795
1997,55079003000,1198,4,3.33889816360601
