start_year,neighborhood,parcels,foreclosures,foreclosures_per_1k
1996,WHISPERING HILLS,213,0,0
1996,WHITE MANOR,580,1,1.7241379310344827
1996,WICK FIELD,160,2,12.5
1996,WILLIAMSBURG,612,4,6.5359477124183005
1996,WILSON PARK,634,0,0
1996,WOODLAND COURT,135,0,0
1996,WOODLANDS,625,9,14.4
1996,WYRICK PARK,236,3,12.711864406779663
1996,YANKEE HILL,168,0,0
1997,ALCOTT PARK,479,0,0
1997,ALVERNO,52,0,0
1997,AMANI,1654,23,13.905683192261185
1997,ARLINGTON GARDENS,736,0,0
1997,ARLINGTON HEIGHTS,1232,7,5.681818181818182
1997,AVENUES WEST,266,1,3.7593984962406015
1997,BARAN PARK,86,0,0
1997,BAY VIEW,4971,8,1.6093341380004023
1997,BLUEMOUND HEIGHTS,977,0,0
1997,BORCHERT FIELD,1026,11,10.721247563352826
1997,BRADLEY ESTATES,967,1,1.0341261633919339
1997,BREWER'S HILL,334,0,0
1997,BUCHEL PARK,13,0,0
1997,BURNHAM PARK,1334,7,5.247376311844078
1997,CALUMET FARMS,246,3,12.195121951219512
1997,CAMBRIDGE HEIGHTS,473,0,0
1997,CANNON PARK,428,0,0
1997,CAPITOL HEIGHTS,1650,10,6.0606060606060606
1997,CASTLE MANOR,707,0,0
1997,CLARKE SQUARE,991,4,4.036326942482341
1997,CLAYTON CREST,529,0,0
1997,CLOCK TOWER ACRES,299,1,3.3444816053511706
1997,COLD SPRING PARK,274,4,14.598540145985401
1997,COLLEGE HEIGHTS,373,0,0
1997,COLUMBUS PARK,1117,1,0.8952551477170994
1997,CONCORDIA,177,1,5.649717514124294
1997,COOPER PARK,1209,2,1.6542597187758479
1997,COPERNICUS PARK,472,0,0
1997,DINEEN PARK,909,6,6.600660066006601
1997,DOWNER WOODS,635,1,1.574803149606299
1997,DRETZKA PARK,13,0,0
1997,ENDERIS PARK,917,1,1.0905125408942202
1997,ESTABROOK PARK,9,0,0
