start_year,tract_2020,privately_owned_parcels,foreclosures,foreclosures_per_1k
1996,55079001900,845,2,2.366863905325444
1996,55079002000,713,8,11.220196353436185
1996,55079002100,574,3,5.226480836236934
1996,55079002200,576,2,3.472222222222222
1996,55079002300,1131,4,3.5366931918656053
1996,55079002400,535,5,9.345794392523365
1996,55079002500,555,5,9.00900900900901
1996,55079002600,834,17,20.38369304556355
1996,55079002700,624,1,1.6025641025641024
1996,55079002800,576,4,6.944444444444444
1996,55079002900,662,7,10.574018126888218
1996,55079003000,1197,4,3.341687552213868
1996,55079003100,1053,6,5.698005698005698
1996,55079003200,843,2,2.3724792408066433
1996,55079003400,1420,1,0.7042253521126761
1996,55079003500,1045,3,2.8708133971291865
1996,55079003600,548,2,3.6496350364963503
1996,55079003700,773,1,1.29366106080207
1996,55079003800,676,4,5.9171597633136095
1996,55079003900,783,7,8.939974457215836
1996,55079004000,542,3,5.535055350553505
1996,55079004100,808,4,4.9504950495049505
1996,55079004200,692,6,8.670520231213873
1996,55079004300,1470,12,8.16326530612245
1996,55079004400,468,3,6.41025641025641
1996,55079004500,652,2,3.067484662576687
1996,55079004600,767,4,5.215123859191656
1996,55079004700,1083,2,1.8467220683287164
1996,55079004800,1004,15,14.940239043824702
1996,55079004900,1202,7,5.8236272878535775
1996,55079005000,1368,2,1.461988304093567
1996,55079005100,731,1,1.3679890560875512
1996,55079005400,1372,3,2.186588921282799
1996,55079005500,1207,1,0.828500414250207
1996,55079005800,968,1,1.0330578512396695
1996,55079005900,933,9,9.64630225080386
1996,55079006000,521,5,9.596928982725528
1996,55079006100,569,13,22.847100175746927
1996,55079006200,591,9,15.228426395939087
1996,55079006300,634,4,6.309148264984227
1996,55079006400,640,6,9.375
1996,55079006500,666,5,7.5075075075075075
1996,55079006600,837,6,7.168458781362007
1996,55079006700,355,2,5.633802816901409
1996,55079006800,685,7,10.218978102189782
1996,55079006900,561,5,8.9126559714795
1996,55079007000,625,4,6.4
1996,55079007100,479,3,6.263048016701462
1996,55079007200,779,2,2.567394094993581
1996,55079007300,546,1,1.8315018315018314
1996,55079007700,488,2,4.0983606557377055
1996,55079007900,393,1,2.544529262086514
1996,55079008000,427,1,2.34192037470726
1996,55079008100,305,1,3.278688524590164
1996,55079008400,342,3,8.771929824561402
1996,55079008500,306,4,13.071895424836601
1996,55079008600,353,2,5.6657223796034
1996,55079008700,371,3,8.086253369272237
1996,55079008800,485,6,12.371134020618555
1996,55079008900,386,2,5.181347150259067
1996,55079009000,509,6,11.787819253438114
1996,55079009100,560,9,16.07142857142857
1996,55079009200,368,9,24.456521739130437
1996,55079009300,726,1,1.3774104683195594
1996,55079009400,750,2,2.6666666666666665
1996,55079009500,625,2,3.2
1996,55079009600,527,14,26.565464895635674
1996,55079009700,326,2,6.134969325153374
1996,55079009800,314,4,12.738853503184714
1996,55079009900,359,3,8.356545961002785
1996,55079010700,407,1,2.457002457002457
1996,55079011000,318,1,3.1446540880503147
1996,55079012200,449,3,6.6815144766147
1996,55079012300,170,1,5.88235294117647
1996,55079012400,632,2,3.1645569620253164
1996,55079012500,559,1,1.7889087656529516
1996,55079012900,911,1,1.0976948408342482
1996,55079013000,478,1,2.092050209205021
1996,55079013300,294,3,10.204081632653061
1996,55079013400,334,1,2.9940119760479043
1996,55079013600,169,3,17.75147928994083
1996,55079015700,482,2,4.149377593360996
1996,55079015800,407,2,4.914004914004914
1996,55079015900,495,3,6.0606060606060606
1996,55079016000,497,2,4.024144869215292
1996,55079016100,619,3,4.846526655896607
1996,55079016200,542,2,3.6900369003690034
1996,55079016300,787,8,10.165184243964422
1996,55079016400,680,4,5.88235294117647
1996,55079016500,424,4,9.433962264150942
1996,55079016600,317,2,6.309148264984227
1996,55079016800,492,3,6.097560975609756
1996,55079016900,633,6,9.47867298578199
1996,55079017000,965,6,6.217616580310881
1996,55079017200,492,1,2.032520325203252
1996,55079017300,672,1,1.488095238095238
1996,55079017400,418,3,7.177033492822967
1996,55079017500,614,3,4.885993485342019
1996,55079017600,438,1,2.28310502283105
1996,55079017900,675,2,2.962962962962963
1996,55079018000,656,2,3.048780487804878
1996,55079018500,604,1,1.6556291390728477
1996,55079018600,464,2,4.310344827586206
1996,55079018700,542,1,1.8450184501845017
1996,55079018800,345,1,2.898550724637681
1996,55079019200,1142,1,0.8756567425569177
1996,55079019500,1016,1,0.984251968503937
1996,55079019900,1008,1,0.992063492063492
1996,55079020100,710,1,1.4084507042253522
1996,55079020200,955,1,1.0471204188481678
1996,55079020400,626,1,1.5974440894568689
1996,55079020600,1246,2,1.6051364365971108
1996,55079020700,1417,1,0.7057163020465773
1996,55079020900,826,1,1.2106537530266344
1996,55079021100,523,1,1.9120458891013383
1996,55079185400,418,3,7.177033492822967
1996,55079185500,319,1,3.134796238244514
1996,55079185600,360,3,8.333333333333334
1996,55079185700,462,2,4.329004329004329
1996,55079185800,309,1,3.236245954692557
1996,55079185900,198,1,5.050505050505051
1996,55079186100,283,1,3.5335689045936394
1996,55079186200,216,1,4.62962962962963
1996,55079186500,304,2,6.578947368421052
1997,55079000101,602,2,3.3222591362126246
1997,55079000102,932,5,5.364806866952789
1997,55079000201,871,13,14.925373134328359
1997,55079000202,1163,4,3.4393809114359417
1997,55079000302,408,2,4.901960784313726
1997,55079000304,992,1,1.0080645161290323
1997,55079000501,734,1,1.3623978201634876
1997,55079000502,456,3,6.578947368421052
1997,55079000600,1467,5,3.408316291751875
1997,55079000700,967,1,1.0341261633919339
1997,55079000800,1184,8,6.756756756756757
1997,55079000900,654,3,4.587155963302752
1997,55079001000,983,5,5.0864699898270604
1997,55079001100,515,4,7.766990291262136
1997,55079001200,472,6,12.711864406779663
1997,55079001300,905,4,4.419889502762431
1997,55079001400,327,1,3.058103975535168
1997,55079001500,600,2,3.3333333333333335
1997,55079001700,955,2,2.0942408376963355
1997,55079001800,580,3,5.172413793103448
1997,55079001900,843,6,7.117437722419928
1997,55079002000,713,4,5.610098176718092
1997,55079002100,574,10,17.421602787456447
1997,55079002200,576,3,5.208333333333333
1997,55079002300,1131,9,7.957559681697613
1997,55079002400,534,4,7.49063670411985
1997,55079002500,555,10,18.01801801801802
1997,55079002600,835,7,8.383233532934131
1997,55079002700,624,7,11.217948717948717
1997,55079002800,576,6,10.416666666666666
1997,55079002900,663,7,10.558069381598793
1997,55079003000,1198,4,3.33889816360601
1997,55079003100,1053,4,3.7986704653371324
1997,55079003200,843,2,2.3724792408066433
1997,55079003300,1143,1,0.8748906386701663
1997,55079003500,1046,3,2.868068833652008
1997,55079003600,548,7,12.773722627737227
1997,55079003700,775,8,10.32258064516129
1997,55079003800,673,4,5.943536404160475
1997,55079003900,783,12,15.32567049808429
1997,55079004000,542,5,9.22509225092251
1997,55079004100,807,3,3.717472118959108
1997,55079004200,691,5,7.23589001447178
1997,55079004300,1465,8,5.460750853242321
1997,55079004400,467,8,17.130620985010708
1997,55079004500,647,5,7.727975270479135
1997,55079004600,764,4,5.235602094240838
1997,55079004700,1082,5,4.621072088724585
1997,55079004800,999,16,16.016016016016017
1997,55079004900,1202,2,1.663893510815308
1997,55079005000,1369,5,3.652300949598247
1997,55079005100,731,3,4.1039671682626535
1997,55079005300,707,2,2.828854314002829
1997,55079005400,1371,1,0.7293946024799417
1997,55079005600,778,2,2.5706940874035986
1997,55079005800,967,1,1.0341261633919339
1997,55079005900,932,8,8.583690987124463
1997,55079006000,521,5,9.596928982725528
1997,55079006100,566,5,8.8339222614841
1997,55079006200,588,11,18.707482993197278
1997,55079006300,626,8,12.779552715654951
1997,55079006400,624,7,11.217948717948717
1997,55079006500,660,2,3.0303030303030303
1997,55079006600,816,10,12.254901960784313
1997,55079006700,343,5,14.577259475218659
1997,55079006800,674,6,8.902077151335313
1997,55079006900,552,7,12.681159420289855
1997,55079007000,618,16,25.889967637540455
1997,55079007200,778,3,3.8560411311053984
1997,55079007400,424,1,2.3584905660377355
1997,55079007700,488,2,4.0983606557377055
1997,55079007800,549,1,1.8214936247723132
1997,55079008000,426,4,9.389671361502348
1997,55079008100,301,2,6.644518272425249
1997,55079008400,334,5,14.970059880239521
1997,55079008500,292,3,10.273972602739725
1997,55079008600,336,5,14.88095238095238
1997,55079008700,358,5,13.966480446927374
1997,55079008800,464,8,17.241379310344826
1997,55079008900,364,11,30.21978021978022
1997,55079009000,496,23,46.37096774193549
1997,55079009100,561,12,21.390374331550802
1997,55079009200,367,4,10.899182561307901
1997,55079009300,726,2,2.7548209366391188
1997,55079009500,624,3,4.807692307692308
1997,55079009600,506,37,73.12252964426877
1997,55079009700,321,4,12.461059190031152
1997,55079009800,297,14,47.13804713804714
1997,55079009900,334,4,11.976047904191617
1997,55079010600,269,1,3.717472118959108
1997,55079010700,409,7,17.114914425427873
1997,55079011000,314,2,6.369426751592357
1997,55079011200,287,1,3.484320557491289
1997,55079011300,119,2,16.80672268907563
1997,55079012200,446,8,17.937219730941703
1997,55079012300,169,1,5.9171597633136095
1997,55079012400,632,3,4.746835443037975
1997,55079012700,426,1,2.347417840375587
1997,55079012800,627,1,1.594896331738437
1997,55079012900,911,1,1.0976948408342482
1997,55079013400,345,9,26.08695652173913
1997,55079013500,54,1,18.51851851851852
1997,55079014600,74,1,13.513513513513514
1997,55079014700,60,1,16.666666666666668
1997,55079015700,478,4,8.368200836820083
1997,55079015800,406,2,4.926108374384237
1997,55079016000,497,5,10.060362173038229
1997,55079016100,621,3,4.830917874396135
1997,55079016200,541,3,5.545286506469501
