year_end,tract_2020,parcels,city_owned
1991,55079013400,358,0
1991,55079013500,53,0
1991,55079013600,165,0
1991,55079013700,120,1
1991,55079014300,230,0
1991,55079014400,21,0
1991,55079014600,85,2
1991,55079014700,73,10
1991,55079014800,84,1
1991,55079014900,124,0
1991,55079015700,489,0
1991,55079015800,408,1
1991,55079015900,498,0
1991,55079016000,499,1
1991,55079016100,615,0
1991,55079016200,537,1
1991,55079016300,789,1
1991,55079016400,684,1
1991,55079016500,436,2
1991,55079016600,325,1
1991,55079016700,450,0
1991,55079016800,495,0
1991,55079016900,632,0
1991,55079017000,967,0
1991,55079017100,483,0
1991,55079017200,491,0
1991,55079017300,672,0
1991,55079017400,421,0
1991,55079017500,616,1
1991,55079017600,435,0
1991,55079017900,677,0
1991,55079018000,656,0
1991,55079018100,707,0
1991,55079018200,522,0
1991,55079018300,669,0
1991,55079018400,420,0
1991,55079018500,603,0
1991,55079018600,462,0
1991,55079018700,543,0
1991,55079018800,345,0
1991,55079018900,367,0
1991,55079019000,1355,0
1991,55079019100,611,0
1991,55079019200,1142,0
1991,55079019300,973,0
1991,55079019400,799,0
1991,55079019500,1011,0
1991,55079019600,999,0
1991,55079019700,1327,0
1991,55079019800,1595,0
1991,55079019900,1008,0
1991,55079020000,638,0
1991,55079020100,709,0
1991,55079020200,954,0
1991,55079020300,1123,0
1991,55079020400,627,0
1991,55079020500,644,0
1991,55079020600,1245,0
1991,55079020700,1417,0
1991,55079020800,1064,1
1991,55079020900,820,0
1991,55079021000,779,0
1991,55079021100,522,0
1991,55079021200,468,0
1991,55079021300,306,0
1991,55079021400,410,0
1991,55079021500,880,0
1991,55079021600,1222,0
1991,55079021700,1862,0
1991,55079021800,475,0
1991,55079060200,17,0
1991,55079090100,3,0
1991,55079090200,14,0
1991,55079091000,3,0
1991,55079091300,11,0
1991,55079091400,10,0
1991,55079101600,6,0
1991,55079120300,4,0
1991,55079120400,16,0
1991,55079120502,3,0
1991,55079185100,1,0
1991,55079185200,7,0
1991,55079185400,467,5
1991,55079185500,355,1
1991,55079185600,372,3
1991,55079185700,495,3
1991,55079185800,353,4
1991,55079185900,227,3
1991,55079186000,79,0
1991,55079186100,289,2
1991,55079186200,216,0
1991,55079186400,4,0
1991,55079186500,327,0
1991,55079186600,405,0
1991,55079186800,70,0
1991,55079186900,7,0
1991,55079187000,445,0
1992,55079000101,642,0
1992,55079000102,931,0
1992,55079000201,867,0
1992,55079000202,1119,0
1992,55079000301,623,0
1992,55079000302,371,0
1992,55079000303,443,0
1992,55079000304,982,0
1992,55079000400,371,0
1992,55079000501,732,0
1992,55079000502,457,0
1992,55079000600,1464,0
1992,55079000700,993,0
1992,55079000800,1184,1
1992,55079000900,659,0
1992,55079001000,988,1
1992,55079001100,517,2
1992,55079001200,471,0
1992,55079001300,907,1
1992,55079001400,327,0
1992,55079001500,602,1
1992,55079001600,607,0
1992,55079001700,956,0
1992,55079001800,579,0
1992,55079001900,845,1
1992,55079002000,715,0
1992,55079002100,574,0
1992,55079002200,579,0
1992,55079002300,1131,2
1992,55079002400,541,2
1992,55079002500,558,0
1992,55079002600,843,1
1992,55079002700,625,0
1992,55079002800,577,0
1992,55079002900,664,1
1992,55079003000,1197,0
1992,55079003100,1057,2
1992,55079003200,846,0
1992,55079003300,1144,0
1992,55079003400,1419,0
1992,55079003500,1047,0
1992,55079003600,547,0
1992,55079003700,773,0
1992,55079003800,675,0
1992,55079003900,783,0
1992,55079004000,543,0
1992,55079004100,807,0
1992,55079004200,691,0
1992,55079004300,1468,2
1992,55079004400,478,1
1992,55079004500,657,1
1992,55079004600,774,0
1992,55079004700,1091,4
1992,55079004800,1008,4
1992,55079004900,1201,0
1992,55079005000,1371,1
1992,55079005100,729,0
1992,55079005200,572,0
1992,55079005300,708,0
1992,55079005400,1372,0
1992,55079005500,1206,0
1992,55079005600,778,0
1992,55079005700,857,0
1992,55079005800,968,0
1992,55079005900,936,0
1992,55079006000,521,0
1992,55079006100,574,0
1992,55079006200,607,5
