year_end,tract_2010,parcels
1991,55079018700,543
1991,55079018800,345
1991,55079018900,367
1991,55079019000,1351
1991,55079019100,613
1991,55079019200,1146
1991,55079019300,969
1991,55079019400,799
1991,55079019500,1011
1991,55079019600,999
1991,55079019700,1327
1991,55079019800,1595
1991,55079019900,994
1991,55079020000,625
1991,55079020100,709
1991,55079020200,954
1991,55079020300,1123
1991,55079020400,627
1991,55079020500,644
1991,55079020600,1245
1991,55079020700,1402
1991,55079020800,1044
1991,55079020900,820
1991,55079021000,779
1991,55079021100,522
1991,55079021200,468
1991,55079021300,306
1991,55079021400,410
1991,55079021500,880
1991,55079021600,1222
1991,55079021700,1862
1991,55079021800,468
1991,55079060200,19
1991,55079080400,2
1991,55079090200,12
1991,55079091000,23
1991,55079091300,9
1991,55079091400,7
1991,55079101600,10
1991,55079110100,23
1991,55079120300,12
1991,55079120400,33
1991,55079120502,10
1991,55079185100,8
1991,55079185200,22
1991,55079185400,460
1991,55079185500,357
1991,55079185600,372
1991,55079185700,495
1991,55079185800,355
1991,55079185900,225
1991,55079186000,79
1991,55079186100,287
1991,55079186200,216
1991,55079186400,4
1991,55079186500,327
1991,55079186600,405
1991,55079186800,70
1991,55079186900,69
1991,55079187000,389
1991,55079980000,14
1992,55079000101,642
1992,55079000102,931
1992,55079000201,867
1992,55079000202,1119
1992,55079000301,623
1992,55079000302,371
1992,55079000303,443
1992,55079000304,996
1992,55079000400,371
1992,55079000501,732
1992,55079000502,457
1992,55079000600,1450
1992,55079000700,993
1992,55079000800,1184
1992,55079000900,659
1992,55079001000,990
1992,55079001100,517
1992,55079001200,471
1992,55079001300,907
1992,55079001400,327
1992,55079001500,602
1992,55079001600,607
1992,55079001700,956
1992,55079001800,579
1992,55079001900,845
1992,55079002000,715
1992,55079002100,574
1992,55079002200,575
1992,55079002300,1131
1992,55079002400,541
1992,55079002500,558
1992,55079002600,843
1992,55079002700,625
1992,55079002800,577
1992,55079002900,664
1992,55079003000,1197
1992,55079003100,1054
1992,55079003200,849
1992,55079003300,1144
1992,55079003400,1422
1992,55079003500,1047
1992,55079003600,544
1992,55079003700,776
1992,55079003800,675
1992,55079003900,783
1992,55079004000,543
1992,55079004100,807
1992,55079004200,691
1992,55079004300,1468
1992,55079004400,476
1992,55079004500,657
1992,55079004600,774
1992,55079004700,1091
1992,55079004800,1008
