year_end,aldermanic_2022,parcels,city_owned
2016,6,8752,118
2016,7,10823,67
2016,8,6799,12
2016,9,8494,NA
2016,10,9910,NA
2016,11,11089,2
2016,12,6280,19
2016,13,10172,NA
2016,14,10813,9
2016,15,7682,NA
2017,1,10220,41
2017,2,9103,16
2017,3,6469,2
2017,4,3606,7
2017,5,11342,1
2017,6,8679,66
2017,7,10796,31
2017,8,6794,8
2017,9,8507,2
2017,10,9905,2
2017,11,11089,1
2017,12,6268,11
2017,13,10172,0
2017,14,10808,3
2017,15,7606,64
2018,1,10229,16
2018,2,9104,2
2018,3,6468,0
2018,4,3604,2
2018,5,11344,3
2018,6,8647,33
2018,7,10798,17
2018,8,6798,5
2018,9,8518,1
2018,10,9916,3
2018,11,11089,0
2018,12,6262,6
2018,13,10174,2
2018,14,10807,1
2018,15,7596,NA
2019,1,10249,18
2019,2,9118,9
2019,3,6485,NA
2019,4,3657,6
2019,5,11344,3
2019,6,8675,41
2019,7,10815,31
2019,8,6800,5
2019,9,8541,2
2019,10,9921,6
2019,11,11093,4
2019,12,6274,10
2019,13,10172,3
2019,14,10816,2
2019,15,7609,47
2020,1,10274,1
2020,2,9125,NA
2020,3,6478,0
2020,4,3649,2
2020,5,11344,0
2020,6,8693,6
2020,7,10833,NA
2020,8,6799,2
2020,9,8545,0
2020,10,9918,1
2020,11,11089,0
2020,12,6279,NA
2020,13,10176,1
2020,14,10818,0
2020,15,7645,3
2021,1,10253,4
2021,2,9125,3
2021,3,6472,0
2021,4,3648,2
2021,5,11345,1
2021,6,8678,13
2021,7,10815,8
2021,8,6790,1
2021,9,8544,1
2021,10,9912,2
2021,11,11088,1
2021,12,6267,2
2021,13,10175,0
2021,14,10804,0
2021,15,7629,7
2022,1,10256,14
2022,2,9125,7
2022,3,6468,1
2022,4,3648,5
2022,5,11346,5
2022,6,8711,47
2022,7,10823,21
2022,8,6788,8
2022,9,8553,6
2022,10,9914,5
2022,11,11091,0
2022,12,6265,10
2022,13,10178,2
2022,14,10798,2
2022,15,7704,37
2023,1,10256,14
2023,2,9125,7
2023,3,6469,1
2023,4,3649,5
2023,5,11346,3
2023,6,8711,48
2023,7,10824,22
2023,8,6790,7
2023,9,8553,6
2023,10,9914,5
2023,11,11091,0
2023,12,6266,9
2023,13,10179,2
2023,14,10798,2
2023,15,7705,37
